******************************
Namespace(board=True, cfg='configs/coco/resnet152/256x192_adam_lr1e-3-aug.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='res152_fast_res_aug', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3-aug.yaml-res152_fast_res_aug/', world_size=4)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 45, 'SCALE_FACTOR': 0.35, 'NUM_JOINTS_HALF_BODY': 8, 'PROB_HALF_BODY': 0.3}, 'MODEL': {'NAME': 'fast_duc_pose', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_LAYERS': 152, 'EXTRA': {'BACKBONE': 'resnet', 'SIGMA': 2, 'CROP': 'fix', 'PRESET': 'simple', 'FINAL_CONV_KERNEL': 1, 'STAGE1': {'NUM_CONV': 4}, 'STAGE2': {'NUM_CONV': 2}, 'STAGE3': {'NUM_CONV': 1}}}, 'TRAIN': {'WORLD_SIZE': 4, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 270, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [170, 200], 'DPG_MILESTONE': 210, 'DPG_STEP': [20, 40]}, 'FILE_NAME': '256x192_adam_lr1e-3-aug.yaml'}
******************************
Create new model
=> init weights
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00114031 | acc:0.1073
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00083499 | acc:0.3802
##### Epoch 1 | gt mAP: 0.29570870114794284 | rcnn mAP: 0.2913860190661662 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00065568 | acc:0.5651
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00059529 | acc:0.6195
##### Epoch 3 | gt mAP: 0.44275513140683004 | rcnn mAP: 0.4319964120870148 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00057301 | acc:0.6379
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00055773 | acc:0.6508
##### Epoch 5 | gt mAP: 0.4779690925192183 | rcnn mAP: 0.4661741218749696 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00053586 | acc:0.6691
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00051611 | acc:0.6859
##### Epoch 7 | gt mAP: 0.5329159332135874 | rcnn mAP: 0.5224938931035344 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00051127 | acc:0.6895
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00050700 | acc:0.6928
##### Epoch 9 | gt mAP: 0.5534140507787466 | rcnn mAP: 0.5422786560468948 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00048004 | acc:0.7151
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00046992 | acc:0.7240
##### Epoch 11 | gt mAP: 0.009279088513167747 | rcnn mAP: 0.007755635161852342 #####
