******************************
Namespace(board=True, cfg='./configs/coco/resnet50/256x192_adam_lr1e-3-duc.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='unshuffle_duc_aug', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3-duc.yaml-unshuffle_duc_aug/', world_size=4)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 45, 'SCALE_FACTOR': 0.35, 'NUM_JOINTS_HALF_BODY': 8, 'PROB_HALF_BODY': 0.3}, 'MODEL': {'NAME': 'fast_duc_pose', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_LAYERS': 50, 'EXTRA': {'BACKBONE': 'shuffle', 'SIGMA': 2, 'CROP': 'fix', 'PRESET': 'simple', 'FINAL_CONV_KERNEL': 1, 'STAGE1': {'NUM_CONV': 4}, 'STAGE2': {'NUM_CONV': 2}, 'STAGE3': {'NUM_CONV': 1}}}, 'TRAIN': {'WORLD_SIZE': 4, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 270, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [170, 200], 'DPG_MILESTONE': 210, 'DPG_STEP': [20, 40]}, 'FILE_NAME': '256x192_adam_lr1e-3-duc.yaml'}
******************************
Create new model
=> init weights
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00112167 | acc:0.1318
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00078328 | acc:0.4324
##### Epoch 1 | gt mAP: 0.3237321853920164 | rcnn mAP: 0.31366827256278046 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00065409 | acc:0.5646
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00059937 | acc:0.6133
##### Epoch 3 | gt mAP: 0.4142770694498911 | rcnn mAP: 0.4069946503691679 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00057269 | acc:0.6372
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00055091 | acc:0.6561
##### Epoch 5 | gt mAP: 0.4874751073370939 | rcnn mAP: 0.477296765080427 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00053545 | acc:0.6683
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00052946 | acc:0.6730
##### Epoch 7 | gt mAP: 0.5076652439490558 | rcnn mAP: 0.49683725014632146 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00050681 | acc:0.6930
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00049401 | acc:0.7035
##### Epoch 9 | gt mAP: 0.5406226566511447 | rcnn mAP: 0.5294236394545224 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00048288 | acc:0.7125
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00047321 | acc:0.7208
##### Epoch 11 | gt mAP: 0.5720322973551055 | rcnn mAP: 0.5562197193746343 #####
