******************************
Namespace(board=True, cfg='./configs/coco/resnet/256x192_res50_lr1e-3_2x-dcn.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='fast_seres_dcn_2x', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3-dcn_2x.yaml-fast_seres_dcn_2x/', world_size=4)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 45, 'SCALE_FACTOR': 0.35, 'NUM_JOINTS_HALF_BODY': 8, 'PROB_HALF_BODY': 0.3}, 'MODEL': {'NAME': 'fast_pose', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_DECONV_FILTERS': [256, 256, 256], 'NUM_LAYERS': 50, 'DCN': {'MODULATED': False, 'DEFORM_GROUP': 1, 'FALLBACK_ON_STRIDE': False}, 'STAGE_WITH_DCN': [False, True, True, True], 'EXTRA': {'SIGMA': 2, 'CROP': 'padding', 'BACKBONE': 'se-resnet', 'AUGMENT': 'none', 'PRESET': 'simple'}}, 'TRAIN': {'WORLD_SIZE': 4, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 270, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [170, 200], 'DPG_MILESTONE': 210, 'DPG_STEP': [20, 40]}, 'FILE_NAME': '256x192_adam_lr1e-3-dcn_2x.yaml'}
******************************
Create new model
=> init weights
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00096774 | acc:0.2662
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00064137 | acc:0.5834
##### Epoch 1 | gt mAP: 0.4382865427002379 | rcnn mAP: 0.42760151093048 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00057446 | acc:0.6410
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00054543 | acc:0.6650
##### Epoch 3 | gt mAP: 0.49796866716784555 | rcnn mAP: 0.4859850859306787 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00052666 | acc:0.6803
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00051127 | acc:0.6926
##### Epoch 5 | gt mAP: 0.5377212922790333 | rcnn mAP: 0.5244624484223354 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00049761 | acc:0.7035
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00048403 | acc:0.7141
##### Epoch 7 | gt mAP: 0.5650663125185054 | rcnn mAP: 0.5504642982192037 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00047359 | acc:0.7229
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00046592 | acc:0.7289
##### Epoch 9 | gt mAP: 0.5792557016968288 | rcnn mAP: 0.5637610968239671 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00045756 | acc:0.7358
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00045032 | acc:0.7417
##### Epoch 11 | gt mAP: 0.5912639107044535 | rcnn mAP: 0.5749597503532028 #####
############# Starting Epoch 12 | LR: 0.001 #############
Train-12 epoch | loss:0.00044389 | acc:0.7471
############# Starting Epoch 13 | LR: 0.001 #############
Train-13 epoch | loss:0.00043705 | acc:0.7522
##### Epoch 13 | gt mAP: 0.6122261067838505 | rcnn mAP: 0.5975579607690072 #####
############# Starting Epoch 14 | LR: 0.001 #############
Train-14 epoch | loss:0.00043311 | acc:0.7554
############# Starting Epoch 15 | LR: 0.001 #############
Train-15 epoch | loss:0.00042818 | acc:0.7593
##### Epoch 15 | gt mAP: 0.6120464439975433 | rcnn mAP: 0.5939329162702716 #####
############# Starting Epoch 16 | LR: 0.001 #############
Train-16 epoch | loss:0.00042281 | acc:0.7634
############# Starting Epoch 17 | LR: 0.001 #############
Train-17 epoch | loss:0.00042064 | acc:0.7645
##### Epoch 17 | gt mAP: 0.6315312909578652 | rcnn mAP: 0.6154700476658583 #####
############# Starting Epoch 18 | LR: 0.001 #############
Train-18 epoch | loss:0.00041598 | acc:0.7687
############# Starting Epoch 19 | LR: 0.001 #############
Train-19 epoch | loss:0.00041185 | acc:0.7725
##### Epoch 19 | gt mAP: 0.636667943662232 | rcnn mAP: 0.6213464197118815 #####
############# Starting Epoch 20 | LR: 0.001 #############
Train-20 epoch | loss:0.00040984 | acc:0.7737
############# Starting Epoch 21 | LR: 0.001 #############
Train-21 epoch | loss:0.00049006 | acc:0.7084
##### Epoch 21 | gt mAP: 0.6066776493383587 | rcnn mAP: 0.5901420298128315 #####
############# Starting Epoch 22 | LR: 0.001 #############
Train-22 epoch | loss:0.00042488 | acc:0.7610
############# Starting Epoch 23 | LR: 0.001 #############
Train-23 epoch | loss:0.00040670 | acc:0.7762
##### Epoch 23 | gt mAP: 0.6478156187910802 | rcnn mAP: 0.6326805986766696 #####
############# Starting Epoch 24 | LR: 0.001 #############
Train-24 epoch | loss:0.00040086 | acc:0.7807
