******************************
Namespace(board=True, cfg='./configs/coco/resnet50/256x192_adam_lr1e-3-aug.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='fast_aug', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3-aug.yaml-fast_aug/', world_size=4)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 45, 'SCALE_FACTOR': 0.35, 'NUM_JOINTS_HALF_BODY': 8, 'PROB_HALF_BODY': 0.3}, 'MODEL': {'NAME': 'fast_pose', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_DECONV_FILTERS': [256, 256, 256], 'NUM_LAYERS': 50, 'EXTRA': {'SIGMA': 2, 'CROP': 'padding', 'PRESET': 'simple'}}, 'TRAIN': {'WORLD_SIZE': 4, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 270, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [170, 200], 'DPG_MILESTONE': 210, 'DPG_STEP': [20, 40]}, 'FILE_NAME': '256x192_adam_lr1e-3-aug.yaml'}
******************************
Create new model
=> init weights
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00107745 | acc:0.1478
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00070316 | acc:0.5202
##### Epoch 1 | gt mAP: 0.2934677485297516 | rcnn mAP: 0.266610510358241 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00059985 | acc:0.6176
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00056560 | acc:0.6458
##### Epoch 3 | gt mAP: 0.4857091730345203 | rcnn mAP: 0.47608772506690666 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00054582 | acc:0.6621
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00053346 | acc:0.6715
##### Epoch 5 | gt mAP: 0.507336483443974 | rcnn mAP: 0.4944399251790898 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00052118 | acc:0.6815
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00051241 | acc:0.6881
##### Epoch 7 | gt mAP: 0.5337794918898852 | rcnn mAP: 0.5205289032597015 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00050296 | acc:0.6964
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00049202 | acc:0.7053
##### Epoch 9 | gt mAP: 0.550634672148198 | rcnn mAP: 0.5348408746949014 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00048194 | acc:0.7138
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00047436 | acc:0.7190
##### Epoch 11 | gt mAP: 0.5652686354339218 | rcnn mAP: 0.5526800001715779 #####
############# Starting Epoch 12 | LR: 0.001 #############
Train-12 epoch | loss:0.00046626 | acc:0.7256
############# Starting Epoch 13 | LR: 0.001 #############
Train-13 epoch | loss:0.00046004 | acc:0.7314
##### Epoch 13 | gt mAP: 0.5888808945752582 | rcnn mAP: 0.571344450522563 #####
############# Starting Epoch 14 | LR: 0.001 #############
Train-14 epoch | loss:0.00045507 | acc:0.7348
############# Starting Epoch 15 | LR: 0.001 #############
Train-15 epoch | loss:0.00044713 | acc:0.7421
##### Epoch 15 | gt mAP: 0.6023316401100974 | rcnn mAP: 0.5859444929038191 #####
############# Starting Epoch 16 | LR: 0.001 #############
Train-16 epoch | loss:0.00044235 | acc:0.7450
############# Starting Epoch 17 | LR: 0.001 #############
Train-17 epoch | loss:0.00043667 | acc:0.7497
##### Epoch 17 | gt mAP: 0.6050340244790428 | rcnn mAP: 0.5867405791736057 #####
############# Starting Epoch 18 | LR: 0.001 #############
Train-18 epoch | loss:0.00043244 | acc:0.7529
############# Starting Epoch 19 | LR: 0.001 #############
Train-19 epoch | loss:0.00042845 | acc:0.7567
##### Epoch 19 | gt mAP: 0.6185945258218051 | rcnn mAP: 0.6012036288752491 #####
############# Starting Epoch 20 | LR: 0.001 #############
Train-20 epoch | loss:0.00042505 | acc:0.7589
############# Starting Epoch 21 | LR: 0.001 #############
Train-21 epoch | loss:0.00042074 | acc:0.7630
##### Epoch 21 | gt mAP: 0.6188934048472395 | rcnn mAP: 0.6067976028580643 #####
############# Starting Epoch 22 | LR: 0.001 #############
Train-22 epoch | loss:0.00041818 | acc:0.7644
############# Starting Epoch 23 | LR: 0.001 #############
Train-23 epoch | loss:0.00041455 | acc:0.7678
##### Epoch 23 | gt mAP: 0.6344986578402317 | rcnn mAP: 0.6165579602407038 #####
############# Starting Epoch 24 | LR: 0.001 #############
Train-24 epoch | loss:0.00041149 | acc:0.7705
############# Starting Epoch 25 | LR: 0.001 #############
Train-25 epoch | loss:0.00040953 | acc:0.7719
##### Epoch 25 | gt mAP: 0.6347647632482656 | rcnn mAP: 0.6186329393700762 #####
############# Starting Epoch 26 | LR: 0.001 #############
Train-26 epoch | loss:0.00040685 | acc:0.7738
############# Starting Epoch 27 | LR: 0.001 #############
Train-27 epoch | loss:0.00040522 | acc:0.7758
##### Epoch 27 | gt mAP: 0.6349020480525129 | rcnn mAP: 0.6189907779009702 #####
############# Starting Epoch 28 | LR: 0.001 #############
Train-28 epoch | loss:0.00040220 | acc:0.7773
############# Starting Epoch 29 | LR: 0.001 #############
Train-29 epoch | loss:0.00039969 | acc:0.7792
##### Epoch 29 | gt mAP: 0.6488367882603229 | rcnn mAP: 0.6333874605735516 #####
############# Starting Epoch 30 | LR: 0.001 #############
Train-30 epoch | loss:0.00039654 | acc:0.7823
############# Starting Epoch 31 | LR: 0.001 #############
Train-31 epoch | loss:0.00039528 | acc:0.7830
##### Epoch 31 | gt mAP: 0.6453166324774915 | rcnn mAP: 0.6277688999953652 #####
############# Starting Epoch 32 | LR: 0.001 #############
Train-32 epoch | loss:0.00039335 | acc:0.7845
############# Starting Epoch 33 | LR: 0.001 #############
Train-33 epoch | loss:0.00039168 | acc:0.7857
##### Epoch 33 | gt mAP: 0.6568329043698756 | rcnn mAP: 0.6393935175206266 #####
############# Starting Epoch 34 | LR: 0.001 #############
Train-34 epoch | loss:0.00039043 | acc:0.7873
############# Starting Epoch 35 | LR: 0.001 #############
Train-35 epoch | loss:0.00038700 | acc:0.7901
##### Epoch 35 | gt mAP: 0.6553279182337521 | rcnn mAP: 0.638858925407993 #####
############# Starting Epoch 36 | LR: 0.001 #############
Train-36 epoch | loss:0.00038566 | acc:0.7905
############# Starting Epoch 37 | LR: 0.001 #############
Train-37 epoch | loss:0.00038453 | acc:0.7915
##### Epoch 37 | gt mAP: 0.6643761784669474 | rcnn mAP: 0.6429574503861345 #####
############# Starting Epoch 38 | LR: 0.001 #############
