******************************
Namespace(board=True, cfg='./configs/coco/hrnet/256x192_w32_lr1e-3.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='hrnet_aug', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3_w32.yaml-hrnet_aug/', world_size=4)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 45, 'SCALE_FACTOR': 0.35, 'NUM_JOINTS_HALF_BODY': 8, 'PROB_HALF_BODY': 0.3}, 'MODEL': {'NAME': 'hrnet', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_DECONV_FILTERS': [256, 256, 256], 'NUM_LAYERS': 50, 'EXTRA': {'SIGMA': 2, 'CROP': 'fix', 'PRESET': 'simple', 'FINAL_CONV_KERNEL': 1, 'PRETRAINED_LAYERS': ['*'], 'STAGE2': {'NUM_MODULES': 1, 'NUM_BRANCHES': 2, 'NUM_BLOCKS': [4, 4], 'NUM_CHANNELS': [32, 64], 'BLOCK': 'BASIC', 'FUSE_METHOD': 'SUM'}, 'STAGE3': {'NUM_MODULES': 4, 'NUM_BRANCHES': 3, 'NUM_BLOCKS': [4, 4, 4], 'NUM_CHANNELS': [32, 64, 128], 'BLOCK': 'BASIC', 'FUSE_METHOD': 'SUM'}, 'STAGE4': {'NUM_MODULES': 3, 'NUM_BRANCHES': 4, 'NUM_BLOCKS': [4, 4, 4, 4], 'NUM_CHANNELS': [32, 64, 128, 256], 'BLOCK': 'BASIC', 'FUSE_METHOD': 'SUM'}}}, 'TRAIN': {'WORLD_SIZE': 4, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 270, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [170, 200], 'DPG_MILESTONE': 210, 'DPG_STEP': [20, 40]}, 'FILE_NAME': '256x192_adam_lr1e-3_w32.yaml'}
******************************
Create new model
=> init weights
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00107126 | acc:0.1534
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00089226 | acc:0.3279
##### Epoch 1 | gt mAP: 0.14445176872687354 | rcnn mAP: 0.13286823259417216 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00076914 | acc:0.4551
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00069035 | acc:0.5281
##### Epoch 3 | gt mAP: 0.24314390999523425 | rcnn mAP: 0.22800106936526776 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00063898 | acc:0.5723
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00059909 | acc:0.6069
##### Epoch 5 | gt mAP: 0.4272583971803042 | rcnn mAP: 0.4070224395999002 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00057044 | acc:0.6311
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00055126 | acc:0.6469
##### Epoch 7 | gt mAP: 0.49635331689304407 | rcnn mAP: 0.47167507014174187 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00053030 | acc:0.6644
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00051511 | acc:0.6766
##### Epoch 9 | gt mAP: 0.5225157360259975 | rcnn mAP: 0.49565189603352694 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00050355 | acc:0.6871
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00049072 | acc:0.6967
##### Epoch 11 | gt mAP: 0.3885274971834289 | rcnn mAP: 0.3216674591601277 #####
############# Starting Epoch 12 | LR: 0.001 #############
Train-12 epoch | loss:0.00048102 | acc:0.7049
############# Starting Epoch 13 | LR: 0.001 #############
Train-13 epoch | loss:0.00047389 | acc:0.7109
##### Epoch 13 | gt mAP: 0.5781872296044306 | rcnn mAP: 0.5631556343500315 #####
############# Starting Epoch 14 | LR: 0.001 #############
Train-14 epoch | loss:0.00046226 | acc:0.7205
############# Starting Epoch 15 | LR: 0.001 #############
Train-15 epoch | loss:0.00045573 | acc:0.7260
##### Epoch 15 | gt mAP: 0.6024055627478183 | rcnn mAP: 0.5839133879871251 #####
