******************************
Namespace(board=True, cfg='./configs/coco/resnet50/256x192_adam_lr1e-3.yaml', debug=False, dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='simple', launcher='none', map=True, nThreads=60, rank=-1, snapshot=2, sync=False, work_dir='./exp/coco/256x192_adam_lr1e-3.yaml-simple/', world_size=8)
******************************
{'DATASET': {'DATASET': 'coco', 'ROOT': './data/coco/', 'TEST_SET': 'val2017', 'TRAIN_SET': 'train2017', 'FLIP': True, 'ROT_FACTOR': 40, 'SCALE_FACTOR': 0.3}, 'MODEL': {'NAME': 'simple_pose', 'PRETRAINED': '', 'TRY_LOAD': '', 'IMAGE_SIZE': [256, 192], 'HEATMAP_SIZE': [64, 48], 'NUM_JOINTS': 17, 'NUM_DECONV_FILTERS': [256, 256, 256], 'NUM_LAYERS': 50, 'EXTRA': {'SIGMA': 2, 'CROP': 'padding', 'PRESET': 'simple'}}, 'TRAIN': {'WORLD_SIZE': 8, 'BATCH_SIZE': 32, 'BEGIN_EPOCH': 0, 'END_EPOCH': 200, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_FACTOR': 0.1, 'LR_STEP': [90, 120], 'DPG_MILESTONE': 140, 'DPG_STEP': [20, 50]}, 'FILE_NAME': '256x192_adam_lr1e-3.yaml'}
******************************
Create new model
=> init deconv weights from normal distribution
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.00116326 | acc:0.1203
############# Starting Epoch 1 | LR: 0.001 #############
Train-1 epoch | loss:0.00070216 | acc:0.5840
##### Epoch 1 | gt mAP: 0.413083767223346 | rcnn mAP: 0.4072142581879445 #####
############# Starting Epoch 2 | LR: 0.001 #############
Train-2 epoch | loss:0.00060104 | acc:0.6655
############# Starting Epoch 3 | LR: 0.001 #############
Train-3 epoch | loss:0.00056184 | acc:0.6942
##### Epoch 3 | gt mAP: 0.5008394299947481 | rcnn mAP: 0.48713096428274505 #####
############# Starting Epoch 4 | LR: 0.001 #############
Train-4 epoch | loss:0.00053585 | acc:0.7132
############# Starting Epoch 5 | LR: 0.001 #############
Train-5 epoch | loss:0.00051952 | acc:0.7250
##### Epoch 5 | gt mAP: 0.5251726620790593 | rcnn mAP: 0.511494284977714 #####
############# Starting Epoch 6 | LR: 0.001 #############
Train-6 epoch | loss:0.00050604 | acc:0.7350
############# Starting Epoch 7 | LR: 0.001 #############
Train-7 epoch | loss:0.00049470 | acc:0.7426
##### Epoch 7 | gt mAP: 0.5518609320988775 | rcnn mAP: 0.5346907232516576 #####
############# Starting Epoch 8 | LR: 0.001 #############
Train-8 epoch | loss:0.00048387 | acc:0.7509
############# Starting Epoch 9 | LR: 0.001 #############
Train-9 epoch | loss:0.00047549 | acc:0.7569
##### Epoch 9 | gt mAP: 0.5415301854658332 | rcnn mAP: 0.5286650105367672 #####
############# Starting Epoch 10 | LR: 0.001 #############
Train-10 epoch | loss:0.00046984 | acc:0.7607
############# Starting Epoch 11 | LR: 0.001 #############
Train-11 epoch | loss:0.00046240 | acc:0.7662
##### Epoch 11 | gt mAP: 0.5762325570421668 | rcnn mAP: 0.5601026355606056 #####
############# Starting Epoch 12 | LR: 0.001 #############
Train-12 epoch | loss:0.00045579 | acc:0.7704
############# Starting Epoch 13 | LR: 0.001 #############
Train-13 epoch | loss:0.00045038 | acc:0.7746
##### Epoch 13 | gt mAP: 0.5769545081622774 | rcnn mAP: 0.5593632611618514 #####
############# Starting Epoch 14 | LR: 0.001 #############
Train-14 epoch | loss:0.00044535 | acc:0.7779
############# Starting Epoch 15 | LR: 0.001 #############
Train-15 epoch | loss:0.00043998 | acc:0.7821
##### Epoch 15 | gt mAP: 0.5971006866435058 | rcnn mAP: 0.5751711624416286 #####
############# Starting Epoch 16 | LR: 0.001 #############
Train-16 epoch | loss:0.00043576 | acc:0.7853
############# Starting Epoch 17 | LR: 0.001 #############
Train-17 epoch | loss:0.00043152 | acc:0.7877
##### Epoch 17 | gt mAP: 0.6174298099397217 | rcnn mAP: 0.599073005885931 #####
############# Starting Epoch 18 | LR: 0.001 #############
Train-18 epoch | loss:0.00042773 | acc:0.7908
############# Starting Epoch 19 | LR: 0.001 #############
Train-19 epoch | loss:0.00042436 | acc:0.7928
##### Epoch 19 | gt mAP: 0.6206664489201019 | rcnn mAP: 0.6019720293529612 #####
############# Starting Epoch 20 | LR: 0.001 #############
Train-20 epoch | loss:0.00042075 | acc:0.7953
############# Starting Epoch 21 | LR: 0.001 #############
Train-21 epoch | loss:0.00041654 | acc:0.7985
##### Epoch 21 | gt mAP: 0.6067529729599185 | rcnn mAP: 0.5862089810488301 #####
############# Starting Epoch 22 | LR: 0.001 #############
Train-22 epoch | loss:0.00041436 | acc:0.8001
############# Starting Epoch 23 | LR: 0.001 #############
Train-23 epoch | loss:0.00041138 | acc:0.8022
##### Epoch 23 | gt mAP: 0.6318103933571793 | rcnn mAP: 0.6116916122120611 #####
############# Starting Epoch 24 | LR: 0.001 #############
Train-24 epoch | loss:0.00040921 | acc:0.8036
############# Starting Epoch 25 | LR: 0.001 #############
Train-25 epoch | loss:0.00043381 | acc:0.7854
##### Epoch 25 | gt mAP: 0.6321793029308227 | rcnn mAP: 0.610934255078101 #####
############# Starting Epoch 26 | LR: 0.001 #############
Train-26 epoch | loss:0.00040781 | acc:0.8046
############# Starting Epoch 27 | LR: 0.001 #############
Train-27 epoch | loss:0.00040282 | acc:0.8083
##### Epoch 27 | gt mAP: 0.6448692346264232 | rcnn mAP: 0.6239146289661902 #####
############# Starting Epoch 28 | LR: 0.001 #############
Train-28 epoch | loss:0.00040062 | acc:0.8097
############# Starting Epoch 29 | LR: 0.001 #############
Train-29 epoch | loss:0.00039722 | acc:0.8124
##### Epoch 29 | gt mAP: 0.6381269558268161 | rcnn mAP: 0.6172039764086015 #####
############# Starting Epoch 30 | LR: 0.001 #############
Train-30 epoch | loss:0.00039631 | acc:0.8126
############# Starting Epoch 31 | LR: 0.001 #############
Train-31 epoch | loss:0.00039440 | acc:0.8141
##### Epoch 31 | gt mAP: 0.6503730042778819 | rcnn mAP: 0.6285193794760499 #####
############# Starting Epoch 32 | LR: 0.001 #############
Train-32 epoch | loss:0.00039244 | acc:0.8156
############# Starting Epoch 33 | LR: 0.001 #############
Train-33 epoch | loss:0.00039104 | acc:0.8164
##### Epoch 33 | gt mAP: 0.6516317941624036 | rcnn mAP: 0.6292756076276034 #####
############# Starting Epoch 34 | LR: 0.001 #############
Train-34 epoch | loss:0.00038820 | acc:0.8186
############# Starting Epoch 35 | LR: 0.001 #############
Train-35 epoch | loss:0.00038746 | acc:0.8194
##### Epoch 35 | gt mAP: 0.6487068544849617 | rcnn mAP: 0.6285906397202318 #####
############# Starting Epoch 36 | LR: 0.001 #############
Train-36 epoch | loss:0.00038550 | acc:0.8208
############# Starting Epoch 37 | LR: 0.001 #############
Train-37 epoch | loss:0.00038280 | acc:0.8225
##### Epoch 37 | gt mAP: 0.6475803297620483 | rcnn mAP: 0.62657373297671 #####
############# Starting Epoch 38 | LR: 0.001 #############
Train-38 epoch | loss:0.00038173 | acc:0.8231
############# Starting Epoch 39 | LR: 0.001 #############
Train-39 epoch | loss:0.00038118 | acc:0.8239
##### Epoch 39 | gt mAP: 0.6519135885482307 | rcnn mAP: 0.6286222854823392 #####
############# Starting Epoch 40 | LR: 0.001 #############
Train-40 epoch | loss:0.00037901 | acc:0.8251
############# Starting Epoch 41 | LR: 0.001 #############
Train-41 epoch | loss:0.00037777 | acc:0.8260
##### Epoch 41 | gt mAP: 0.643358023694725 | rcnn mAP: 0.6241369235344724 #####
############# Starting Epoch 42 | LR: 0.001 #############
Train-42 epoch | loss:0.00037617 | acc:0.8273
############# Starting Epoch 43 | LR: 0.001 #############
Train-43 epoch | loss:0.00037450 | acc:0.8285
##### Epoch 43 | gt mAP: 0.6597943954936223 | rcnn mAP: 0.6350664609145328 #####
############# Starting Epoch 44 | LR: 0.001 #############
Train-44 epoch | loss:0.00037361 | acc:0.8292
############# Starting Epoch 45 | LR: 0.001 #############
Train-45 epoch | loss:0.00037181 | acc:0.8304
##### Epoch 45 | gt mAP: 0.6542737129805305 | rcnn mAP: 0.6317590525199314 #####
############# Starting Epoch 46 | LR: 0.001 #############
Train-46 epoch | loss:0.00037322 | acc:0.8292
############# Starting Epoch 47 | LR: 0.001 #############
Train-47 epoch | loss:0.00036918 | acc:0.8323
##### Epoch 47 | gt mAP: 0.6651080407548572 | rcnn mAP: 0.644375360726147 #####
############# Starting Epoch 48 | LR: 0.001 #############
Train-48 epoch | loss:0.00036829 | acc:0.8325
############# Starting Epoch 49 | LR: 0.001 #############
Train-49 epoch | loss:0.00036712 | acc:0.8337
##### Epoch 49 | gt mAP: 0.6672745090660022 | rcnn mAP: 0.6456009477013025 #####
############# Starting Epoch 50 | LR: 0.001 #############
Train-50 epoch | loss:0.00036667 | acc:0.8338
############# Starting Epoch 51 | LR: 0.001 #############
Train-51 epoch | loss:0.00036426 | acc:0.8356
##### Epoch 51 | gt mAP: 0.6635633673534548 | rcnn mAP: 0.6422310081946829 #####
############# Starting Epoch 52 | LR: 0.001 #############
